id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
487,islamslimani,Islam Slimani,,,,,,,,2018-07-17 10:57:17.168867,2018-07-17 10:57:17.168867
488,rafikhalliche,Rafik Halliche,,,,,,,,2018-07-17 10:57:17.174200,2018-07-17 10:57:17.174200
489,abdelmoumenedjabou,Abdelmoumene Djabou,,,,,,,,2018-07-17 10:57:17.177909,2018-07-17 10:57:17.177909
490,sonheungmin,Son Heung Min,,,,,,,,2018-07-17 10:57:17.180803,2018-07-17 10:57:17.180803
491,yacinebrahimi,Yacine Brahimi,,,,,,,,2018-07-17 10:57:17.183793,2018-07-17 10:57:17.183793
492,koojacheol,Koo Jacheol,,,,,,,,2018-07-17 10:57:17.186626,2018-07-17 10:57:17.186626
493,janvertonghen,Jan Vertonghen,,,,,,,,2018-07-17 10:57:17.196347,2018-07-17 10:57:17.196347
494,alexanderkokorin,Alexander Kokorin,,,,,,,,2018-07-17 10:57:17.210514,2018-07-17 10:57:17.210514
495,davidluiz,David Luiz,,,,,,,,2018-07-17 10:57:17.227554,2018-07-17 10:57:17.227554
496,giovanidossantos,Giovani dos Santos,,,,,,,,2018-07-17 10:57:17.251709,2018-07-17 10:57:17.251709
497,wesleysneijder,Wesley Sneijder,,,,,,,,2018-07-17 10:57:17.254507,2018-07-17 10:57:17.254507
498,klaasjanhuntelaar,Klaas Jan Huntelaar,,,,,,,,2018-07-17 10:57:17.257304,2018-07-17 10:57:17.257304
499,socratispapastathopoulos,Socratis Papastathopoulos,,,,,,,,2018-07-17 10:57:17.272380,2018-07-17 10:57:17.272380
500,paulpogba,Paul Pogba,,,,,,,,2018-07-17 10:57:17.282054,2018-07-17 10:57:17.282054
501,josephyobo,Joseph Yobo,,,,,,,,2018-07-17 10:57:17.285023,2018-07-17 10:57:17.285023
502,andreschuerrle,André Schürrle,,,,,,,,2018-07-17 10:57:17.294859,2018-07-17 10:57:17.294859
503,mesutoezil,Mesut Özil,,,,,,,,2018-07-17 10:57:17.299216,2018-07-17 10:57:17.299216
504,angeldimaria,Ángel di María,,,,,,,,2018-07-17 10:57:17.312280,2018-07-17 10:57:17.312280
505,kevindebruyne,Kevin De Bruyne,,,,,,,,2018-07-17 10:57:17.322811,2018-07-17 10:57:17.322811
506,romelulukaku,Romelu Lukaku,,,,,,,,2018-07-17 10:57:17.325776,2018-07-17 10:57:17.325776
507,juliangreen,Julian Green,,,,,,,,2018-07-17 10:57:17.329350,2018-07-17 10:57:17.329350
508,thiagosilva,Thiago Silva,,,,,,,,2018-07-17 10:57:17.344085,2018-07-17 10:57:17.344085
509,gonzalohiguain,Gonzalo Higuaín,,,,,,,,2018-07-17 10:57:17.371295,2018-07-17 10:57:17.371295
